Device,Temperature,Speed,Distance,Pressure,Efficiency
149,78,187,6,3,0.0
150,80,156,7,6,0.0
151,79,184,6,10,0.0
152,77,192,8,1,0.0
153,73,162,8,3,0.0
154,77,174,7,5,0.0
155,77,163,8,10,0.0
156,77,174,9,2,0.0
157,76,155,10,3,0.0
158,76,194,10,5,0.0
159,72,158,9,9,0.0
160,70,237,4,1,0.0
161,76,241,4,3,0.0
162,71,250,5,7,0.0
163,80,239,4,10,0.0
164,77,209,6,0,0.0
165,73,249,6,4,0.0
166,78,225,6,5,0.0
167,71,229,6,8,0.0
168,75,207,7,1,0.0
169,70,208,8,3,0.0
170,79,216,8,6,0.0
171,78,206,8,8,0.0
172,70,236,9,0,0.0
173,77,240,9,5,0.0
174,71,227,10,7,0.0
175,70,208,9,10,0.0
176,74,281,5,2,0.0
177,79,294,5,3,0.0
178,78,296,5,6,0.0
179,75,270,4,9,0.0
180,80,265,6,0,0.0
181,73,264,6,4,0.0
182,77,297,6,6,0.0
183,78,288,6,8,0.0
184,76,255,7,2,0.0
185,72,267,7,3,0.0
186,79,269,8,7,0.0
187,74,286,8,8,0.0
188,77,272,10,2,0.0
189,73,266,9,2,0.0
190,80,279,10,6,0.0
191,71,250,9,9,0.0
192,82,103,5,1,0.0
193,85,141,5,4,0.0
194,86,108,5,6,0.0
195,88,123,4,9,0.0
196,84,133,6,1,0.0
197,83,139,6,4,0.0
198,88,134,6,6,0.0
199,89,124,7,9,0.0
200,87,113,7,2,0.0
201,82,121,8,5,0.0
202,90,114,8,8,0.0
203,86,121,8,8,0.0
204,89,116,9,1,0.0
205,83,115,10,4,0.0
206,80,139,10,7,0.0
207,80,128,9,9,0.0
208,83,190,4,0,0.0
209,82,183,4,4,0.0
210,81,183,4,7,0.0
211,86,197,5,8,0.0
212,80,184,7,2,0.0
213,81,163,6,3,0.0
214,80,167,6,5,0.0
215,87,185,7,9,0.0
216,81,172,8,1,0.0
217,88,174,8,4,0.0
218,82,198,8,5,0.0
219,80,196,8,9,0.0
220,90,168,9,0,0.0
221,83,197,10,4,0.0
222,80,171,10,5,0.0
223,88,180,10,8,0.0
224,83,221,5,1,0.0
225,83,239,5,4,0.0
226,86,224,5,7,0.0
227,81,202,5,10,0.0
228,84,234,7,1,0.0
229,80,229,6,4,0.0
230,88,202,7,6,0.0
231,90,203,6,8,0.0
232,84,215,8,1,0.0
233,90,202,8,4,0.0
234,89,211,7,6,0.0
235,88,242,7,8,0.0
236,87,230,9,0,0.0
237,86,215,9,3,0.0
238,83,250,9,6,0.0
239,89,220,9,10,0.0
240,83,257,5,2,0.0
241,84,277,5,4,0.0
242,85,253,5,7,0.0
243,90,270,5,9,0.0
244,90,284,6,0,0.0
245,87,282,6,4,0.0
246,84,273,6,6,0.0
247,84,278,6,9,0.0
248,86,274,8,2,0.0
249,82,294,8,3,0.0
250,89,298,8,8,0.0
251,80,269,8,8,0.0
252,81,300,10,2,0.0
253,83,281,10,4,0.0
254,89,259,10,7,0.0
255,86,273,10,8,0.0
